Author               | Score  | Files | Issues
------------------------------------------------------------
ld                   | 87.14  | 7     | author_line_missing, legacy_quotes_only, missing_h1
ao                   | 85.0   | 6     | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
rmr                  | 85.0   | 4     | author_line_missing, legacy_quotes_only, missing_h1
mutis                | 84.35  | 23    | author_line_missing, legacy_quotes_only, missing_h1
tse                  | 82.5   | 6     | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
eld                  | 81.25  | 8     | missing_h1, author_line_missing, metadata_residuals, author_italics_missing, legacy_quotes_only
bolano               | 77.06  | 17    | author_line_missing, legacy_quotes_only, missing_h1
buzzati              | 75.68  | 74    | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
ra                   | 75.0   | 9     | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
stig                 | 74.09  | 22    | author_line_missing, legacy_quotes_only, missing_h1
js                   | 73.53  | 17    | missing_h1, author_line_missing, metadata_residuals, author_italics_missing, legacy_quotes_only
malamud              | 73.53  | 17    | author_line_missing, legacy_quotes_only, missing_h1
oscar                | 73.46  | 39    | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
ibs                  | 73.0   | 15    | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
tommaso              | 72.94  | 51    | author_line_missing, legacy_quotes_only, missing_h1
cl                   | 72.5   | 24    | author_line_missing, legacy_quotes_only, missing_h1
conrad               | 72.07  | 29    | author_line_missing, missing_h1, metadata_residuals
daudet               | 71.8   | 25    | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
elena                | 71.8   | 25    | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
ivant                | 71.72  | 32    | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
lessing              | 71.56  | 48    | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
gdm                  | 71.46  | 41    | author_line_missing, legacy_quotes_only, missing_h1, metadata_residuals
id                   | 71.36  | 22    | author_line_missing, missing_h1, metadata_residuals
sa                   | 71.36  | 44    | author_line_missing, legacy_quotes_only, missing_h1
mda                  | 71.3   | 23    | author_line_missing, missing_h1, metadata_residuals
rk                   | 71.2   | 25    | author_line_missing, missing_h1, metadata_residuals
ma                   | 71.07  | 14    | author_line_missing, missing_h1, metadata_residuals
aam                  | 70.88  | 17    | author_line_missing, missing_h1, metadata_residuals
ew                   | 70.88  | 17    | author_line_missing, missing_h1, metadata_residuals
gci                  | 70.88  | 17    | author_line_missing, missing_h1, metadata_residuals
lp                   | 70.88  | 17    | author_line_missing, missing_h1, metadata_residuals
hgw                  | 70.81  | 37    | author_line_missing, missing_h1, metadata_residuals
miguel               | 70.77  | 39    | author_line_missing, missing_h1, metadata_residuals
donoso               | 70.68  | 22    | author_line_missing, missing_h1, metadata_residuals
gorki                | 70.6   | 25    | author_line_missing, legacy_quotes_only, missing_h1, author_italics_missing
acd                  | 70.28  | 54    | author_line_missing, missing_h1, metadata_residuals
dhl                  | 70.24  | 41    | author_line_missing, missing_h1, metadata_residuals
ah                   | 70.0   | 4     | author_line_missing, missing_h1
carlos               | 70.0   | 26    | author_line_missing, missing_h1
edq                  | 70.0   | 4     | author_line_missing, missing_h1
foc                  | 70.0   | 18    | author_line_missing, missing_h1
gkc                  | 70.0   | 16    | author_line_missing, missing_h1
gogol                | 70.0   | 18    | author_line_missing, missing_h1
greene               | 70.0   | 33    | author_line_missing, missing_h1
gs                   | 70.0   | 5     | author_line_missing, missing_h1
im                   | 70.0   | 4     | author_line_missing, missing_h1
jhl                  | 70.0   | 6     | author_line_missing, missing_h1
jt                   | 70.0   | 5     | author_line_missing, missing_h1
julia                | 70.0   | 2     | author_line_missing, missing_h1
jw                   | 70.0   | 5     | author_line_missing, missing_h1
